id;category_name;category_description
1;Databases; Organized collection of structured information, or data, typically stored electronically in a computer system.
2;Hardware;hardware includes the physical parts of a computer, such as the case, central processing unit (CPU), monitor, mouse, keyboard, computer data among others..
3;HTTP;Hypertext Transfer Protocol (HTTP) is an application-layer protocol for transmitting hypermedia documents.
4;API;API is the acronym for Application Programming Interface, which is a software intermediary that allows two applications to talk to each other.
5;Monitoring;A system monitor is a hardware or software component used to monitor system resources and performance in a computer system.
6;Miscellaneous;Miscellaneous exporters
7;Hypervisors;Virtualization
